The sum: 1499950.000000
The list edges: 
1774 1421 50.000000
1714 1774 50.000000
1775 298 50.000000
1776 377 50.000000
483 1776 50.000000
967 483 50.000000
1778 662 50.000000
1780 787 50.000000
953 1780 50.000000
1781 1347 50.000000
2 1781 50.000000
1782 1020 50.000000
218 1782 50.000000
1455 1782 50.000000
1784 1719 50.000000
70 1784 50.000000
1785 340 50.000000
1787 955 50.000000
327 1787 50.000000
1789 898 50.000000
1792 599 50.000000
1487 1792 50.000000
1793 16 50.000000
1794 1171 50.000000
1795 1317 50.000000
508 1795 50.000000
1798 661 50.000000
172 1798 50.000000
1603 1798 50.000000
1801 73 50.000000
1803 338 50.000000
1804 34 50.000000
546 1804 50.000000
813 1804 50.000000
1117 546 50.000000
1805 182 50.000000
1806 689 50.000000
1807 1097 50.000000
1808 1343 50.000000
1810 378 50.000000
1811 1498 50.000000
1815 18 50.000000
920 1815 50.000000
212 920 50.000000
1173 212 50.000000
80 1173 50.000000
820 1173 50.000000
1816 243 50.000000
1817 885 50.000000
1818 1704 50.000000
1819 1323 50.000000
1821 123 50.000000
1570 1821 50.000000
236 1570 50.000000
1822 659 50.000000
1823 287 50.000000
1824 900 50.000000
1825 832 50.000000
1827 73 50.000000
1829 1448 50.000000
1546 1829 50.000000
1799 1546 50.000000
1104 1799 50.000000
1541 1104 50.000000
1667 1799 50.000000
1597 1667 50.000000
1681 1597 50.000000
1830 612 50.000000
1831 1185 50.000000
1832 883 50.000000
1051 1832 50.000000
206 1051 50.000000
1724 1051 50.000000
1833 798 50.000000
1834 581 50.000000
